"Name","Label"
"x_76040046.png","0"
"x_12030093.png","0"
"x_9020042.png","3"
"x_32010039.png","0"
"x_12020022.png","0"
"x_20030052.png",NA
"x_10020058.png","0"
"x_32040019.png","0"
"x_23020105.png",NA
"x_23010112.png",NA
"x_11010020.png","0"
"x_70010008.png","0"
"x_55010034.png","0"
"x_6304002963040000.png","0"
"x_6020046.png","0"
"x_8040054.png","0"
"x_19040067.png",NA
"x_17020067.png","0"
"x_12020080.png","0"
"x_31010067.png","0"
"x_27030058.png","0"
"x_23020047.png",NA
"x_26010148.png","0"
"x_76040021.png","0"
"x_32040080.png","0"
"x_30010048.png","0"
"x_33030062.png","0"
"x_22040028.png",NA
"x_12010057.png","0"
"x_11020086.png","0"
"x_41010075.png","0"
"x_1040053.png","0"
"x_71040042.png","0"
"x_35020079.png","0"
"x_24030016.png","0"
"x_68010006.png","0"
"x_12030031.png","1"
"x_70020034.png","0"
"x_14040021.png","0"
"x_12010051.png","0"
"x_16020035.png","0"
"x_26010145.png","0"
"x_32020027.png","0"
"x_10040009.png","0"
"x_25040068.png","0"
"x_27040057.png","1"
"x_26040023.png","0"
"x_33020002.png","0"
"x_41020080.png","0"
"x_14010030.png","0"
"x_39020091.png","0"
"x_23030008.png",NA
"x_6020030.png","0"
"x_62040009.png","0"
"x_16040087.png","0"
"x_56030059.png","0"
"x_10020057.png","0"
"x_53030024.png","0"
"x_8040011.png","0"
"x_1040026.png","0"
"x_80030014.png","0"
"x_23040006.png",NA
"x_37010007.png","0"
"x_12020051.png","0"
"x_31010026.png","0"
"x_27020025.png","3"
"x_15010009.png","0"
"x_37030048.png","0"
"x_25010029.png","0"
"x_18040078.png",NA
"x_17030018.png","0"
"x_20010084.png",NA
"x_28030082.png","0"
"x_76020003.png","0"
"x_40020017.png","0"
"x_26030127.png","0"
"x_17010020.png","0"
"x_80030036.png","0"
"x_71030022.png","0"
"x_32040055.png","0"
"x_27010087.png","0"
"x_23040066.png",NA
"x_42020030.png","0"
"x_20030073.png",NA
"x_39030024.png","0"
"x_42020020.png","0"
"x_39020026.png","0"
"x_42010065.png","0"
"x_28040090.png","0"
"x_80040016.png","0"
"x_34040036.png","0"
"x_27010014.png","1"
"x_80010128.png","0"
"x_10020021.png","0"
"x_23040034.png",NA
"x_33020024.png","0"
"x_12020041.png","0"
"x_28020021.png","0"
"x_40020022.png","0"
"x_1010078.png",NA
"x_26030022.png","0"
"x_27040121.png","0"
"x_11030001.png","0"
"x_17030022.png","0"
"x_24020092.png",NA
"x_37020017.png","0"
"x_74010004.png","0"
"x_13040011.png","0"
"x_15010065.png","0"
"x_38030021.png","0"
"x_30040006.png","0"
"x_26020052.png","3"
"x_23040091.png",NA
"x_79020061.png","0"
"x_12030092.png","0"
"x_9040023.png","0"
"x_20030085.png",NA
"x_77010028.png","0"
"x_53030011.png","0"
"x_5010032.png","0"
"x_38030033.png","0"
"x_20030054.png",NA
"x_4010045.png","0"
"x_26030020.png","0"
"x_31010142.png","0"
"x_15020074.png","0"
"x_80040038.png","0"
"x_20030031.png",NA
"x_77030014.png","3"
"x_20030051.png",NA
"x_35040003.png","0"
"x_21040045.png",NA
"x_71040105.png","0"
"x_19040101.png",NA
"x_9040004.png","0"
"x_77030030.png","0"
"x_39020088.png","0"
"x_15020104.png","0"
"x_57030046.png","0"
"x_32020032.png","0"
"x_28020016.png","0"
"x_34020067.png","0"
"x_6030066.png","0"
"x_23020064.png",NA
"x_30040027.png","1"
"x_25020067.png","0"
"x_19010072.png",NA
"x_35030045.png","0"
"x_5030018.png","0"
"x_77040085.png","0"
"x_22040021.png",NA
"x_4010024.png","0"
"x_16020030.png","0"
"x_18020004.png",NA
"x_30020070.png","0"
"x_24010032.png",NA
"x_11020023.png","0"
"x_15040052.png","0"
"x_34010006.png","0"
"x_27040080.png","0"
"x_35040008.png","0"
"x_2503001825030000.png","1"
"x_2001008820010000.png","0"
"x_3001003630010000.png","0"
"x_26010157.png","0"
"x_15010064.png","3"
"x_25030066.png","0"
"x_4020003.png","0"
"x_33010009.png","0"
"x_37030129.png","0"
"x_57010072.png","0"
"x_8030004.png","0"
"x_18020098.png",NA
"x_35020070.png","0"
"x_11040057.png","0"
"x_67040010.png","0"
"x_28030096.png","0"
"x_68030018.png","0"
